
biology-concept	3-Prime-Carbon	"no"
biology-concept	3-Prime-End	"yes"
biology-concept	3-Prime-Region	"no"
biology-concept	5-Prime-Carbon	"no"
biology-concept	5-Prime-End	"yes"
biology-concept	5-Prime-Nucleotide	"yes"
biology-concept	5-Prime-Region	"no"
biology-concept	A-Antigen	"yes"
biology-concept	A-Band	"yes"
biology-concept	Abdomen	"yes"
biology-concept	Abdominal-Cavity	"yes"
biology-concept	Abiotic-Factor	"no"
biology-concept	*abnormal	"no"
biology-concept	Abnormal	"yes"
biology-concept	Abnormal-Cloned-Embryo	"yes"
biology-concept	ABO-Blood-Group	"yes"
biology-concept	Abomasum	"no"
biology-concept	Abortion	"yes"
biology-concept	Abrade	"yes"
biology-concept	Abscisic-Acid	"yes"
biology-concept	Absolute-Dating	"yes"
biology-concept	Absorb	"no"
biology-concept	absorbance	"no"
biology-concept	absorbance-of	"no"
biology-concept	Absorbance-Scalar-Constant	"no"
biology-concept	Absorbance-Scale	"no"
biology-concept	Absorbance-Value	"no"
biology-concept	Absorption	"yes"
biology-concept	Absorption-Of-Energy-By-Electron	"yes"
biology-concept	Absorption-Spectrum	"yes"
biology-concept	abuts	"no"
biology-concept	Abyssal-Zone	"yes"
biology-concept	Acacia-Tree	"yes"
biology-concept	Acanthodian	"yes"
biology-concept	acceleration	"no"
biology-concept	acceleration-magnitude	"no"
biology-concept	Acceleration-Magnitude-Constant	"no"
biology-concept	acceleration-magnitude-of	"no"
biology-concept	Acceleration-Magnitude-Scale	"no"
biology-concept	Acceleration-Magnitude-Value	"no"
biology-concept	acceleration-of	"no"
biology-concept	acceptance	"no"
biology-concept	Acceptance-Constant	"no"
biology-concept	acceptance-of	"no"
biology-concept	Acceptance-Value	"no"
biology-concept	*accepted	"no"
biology-concept	Accessory-Fruit	"yes"
biology-concept	Accessory-Pigment	"yes"
biology-concept	Acclimatization	"yes"
biology-concept	*ACDT	"no"
biology-concept	Acetaldehyde	"yes"
biology-concept	Acetaldehyde-Substance	"yes"
biology-concept	Acetate	"yes"
biology-concept	Acetic-Acid	"yes"
biology-concept	Acetone	"yes"
biology-concept	Acetylcholine	"yes"
biology-concept	Acetylcholinesterase	"no"
biology-concept	Acetyl-CoA	"yes"
biology-concept	Acetyl-Group	"yes"
biology-concept	Achondroplasia	"yes"
biology-concept	Acid	"yes"
biology-concept	Acid-Chyme	"yes"
biology-concept	Acid-Compound	"yes"
biology-concept	Acid-Dissociation-Reaction	"yes"
biology-concept	*acidic	"no"
biology-concept	Acidic-Amino-Acid	"yes"
biology-concept	Acidic-Solution	"yes"
biology-concept	Acidic-Solution-Of-Weak-Acid	"yes"
biology-concept	Acid-Precipitation	"yes"
biology-concept	Acid-Reflux	"no"
biology-concept	Acid-Role	"no"
biology-concept	Acoela	"no"
biology-concept	Acrosomal-Reaction	"yes"
biology-concept	Acrosome	"yes"
biology-concept	*ACST	"no"
biology-concept	Actin	"yes"
biology-concept	Actinium	"yes"
biology-concept	Actinopod	"yes"
biology-concept	Actinopterygii	"yes"
biology-concept	Action	"no"
biology-concept	Action-Potential	"yes"
biology-concept	actions	"no"
biology-concept	actions-of	"no"
biology-concept	Action-Spectrum	"yes"
biology-concept	Activate	"no"
biology-concept	activation	"no"
biology-concept	Activation-Constant	"no"
biology-concept	Activation-Energy	"yes"
biology-concept	activation-of	"no"
biology-concept	Activation-Value	"no"
biology-concept	Activator	"yes"
biology-concept	*active	"no"
biology-concept	Active-Movement-Of-Ions	"yes"
biology-concept	Active-Repressor	"yes"
biology-concept	Active-Site	"yes"
biology-concept	Active-Transport	"yes"
biology-concept	Active-Transport-By-Sodium-Potassium-Pump	"yes"
biology-concept	Active-Transport-Using-ATP	"yes"
biology-concept	Activity	"no"
biology-concept	*acute	"no"
biology-concept	Adaptation	"yes"
biology-concept	Adaptive-Immunity	"no"
biology-concept	Adaptive-Management	"yes"
biology-concept	Adaptive-Radiation	"yes"
biology-concept	Add	"no"
biology-concept	Add-Volumes	"no"
biology-concept	Adenine	"yes"
biology-concept	Adenine-At-DNA-Strand	"yes"
biology-concept	Adenine-At-DNA-Strand-Opposite-To-DNA-Strand	"yes"
biology-concept	Adenine-At-DNA-Strand-Opposite-To-RNA-Strand	"yes"
biology-concept	Adenine-At-RNA-Strand	"yes"
biology-concept	Adenine-At-RNA-Strand-Opposite-To-DNA-Strand	"yes"
biology-concept	Adenine-At-RNA-Strand-Opposite-To-RNA-Strand	"yes"
biology-concept	Adenosine	"yes"
biology-concept	Adenovirus	"yes"
biology-concept	Adenylyl-Cyclase	"yes"
biology-concept	Adhesion	"yes"
biology-concept	Adipose-Cell	"yes"
biology-concept	Adipose-Tissue	"yes"
biology-concept	Administrative-District	"no"
biology-concept	Admit	"no"
biology-concept	*adolescent	"no"
biology-concept	ADP	"yes"
biology-concept	Adrenal-Cortex	"yes"
biology-concept	Adrenal-Gland	"yes"
biology-concept	Adrenal-Medulla	"yes"
biology-concept	Adrenocorticotropic-Hormone	"yes"
biology-concept	*ADT	"no"
biology-concept	Adult	"yes"
biology-concept	Adult-Cell	"yes"
biology-concept	Adulthood	"yes"
biology-concept	Adult-Stem-Cell	"yes"
biology-concept	Adventitious-Root	"yes"
biology-concept	*AEDT	"no"
biology-concept	Aerobe	"yes"
biology-concept	Aerobic-Condition	"yes"
biology-concept	*AEST	"no"
biology-concept	affects	"no"
biology-concept	affects-of	"no"
biology-concept	Afferent-Arteriole	"yes"
biology-concept	Aflatoxin	"yes"
biology-concept	African-Sleeping-Sickness	"yes"
biology-concept	Agar	"yes"
biology-concept	Agar-Medium	"yes"
biology-concept	age	"no"
biology-concept	Age-Constant	"no"
biology-concept	agent	"no"
biology-concept	Agentive-Relation	"no"
biology-concept	agent-of	"no"
biology-concept	Agent-Role	"no"
biology-concept	age-of	"no"
biology-concept	Age-Scale	"no"
biology-concept	Age-Structure	"yes"
biology-concept	Age-Structure-Diagram	"yes"
biology-concept	Agglutination	"yes"
biology-concept	Aggregate	"no"
biology-concept	Aggregate-Fruit	"yes"
biology-concept	*aggressive	"no"
biology-concept	Agonistic-Behavior	"yes"
biology-concept	Agricultural-Process	"yes"
biology-concept	Agricultural-Product	"yes"
biology-concept	Agrobacterium-Tumefaciens	"yes"
biology-concept	AIDS	"yes"
biology-concept	Air	"no"
biology-concept	Air-Space	"yes"
biology-concept	Air-Water-Interface	"no"
biology-concept	*AKDT	"no"
biology-concept	*AKST	"no"
biology-concept	Alanine	"yes"
biology-concept	Albumin	"yes"
biology-concept	Albuterol	"yes"
biology-concept	Albuterol-Isomer	"yes"
biology-concept	Alcohol	"yes"
biology-concept	Alcohol-Dehydrogenase	"no"
biology-concept	Alcohol-Fermentation	"yes"
biology-concept	Alcohol-Fermentation-By-Bacteria	"yes"
biology-concept	Alcohol-Fermentation-By-Yeast	"yes"
biology-concept	Alcohol-Hormone	"yes"
biology-concept	Alcoholic-Beverage	"yes"
biology-concept	Aldehyde	"yes"
biology-concept	Aldolase	"yes"
biology-concept	Aldose	"yes"
biology-concept	Aldosterone	"yes"
biology-concept	Algae	"yes"
biology-concept	Algae-Bloom	"yes"
biology-concept	Algal-Cell	"yes"
biology-concept	Algal-Cell-Wall	"yes"
biology-concept	*aliceBlue	"no"
biology-concept	Alimentary-Canal	"yes"
biology-concept	Alkaptonuria	"yes"
biology-concept	Allantois	"yes"
biology-concept	Allee-Effect	"yes"
biology-concept	Allele	"yes"
biology-concept	Allele-i	"yes"
biology-concept	Allergy	"yes"
biology-concept	Allocate-Resource	"no"
biology-concept	Allolactose	"yes"
biology-concept	Allopatric-Speciation	"yes"
biology-concept	Allopolyploid	"yes"
biology-concept	Allosteric-Enzyme	"yes"
biology-concept	Allosteric-Protein	"yes"
biology-concept	Allosteric-Regulation	"yes"
biology-concept	Allosteric-Site	"yes"
biology-concept	all-subevents	"no"
biology-concept	all-subevents-of	"no"
biology-concept	|Alpha-1,4-Linkage|	"yes"
biology-concept	|Alpha-1,6-Linkage|	"yes"
biology-concept	Alpha-Cell-Islet-Of-Langerhans	"yes"
biology-concept	Alpha-Globin	"yes"
biology-concept	Alpha-Globin-Ancestral-Gene	"yes"
biology-concept	Alpha-Globin-Gene	"yes"
biology-concept	Alpha-Glucose	"yes"
biology-concept	Alpha-Helix	"yes"
biology-concept	Alpha-Keratin	"yes"
biology-concept	Alpha-Ketoglutarate	"yes"
biology-concept	Alpha-Tubulin	"yes"
biology-concept	Alter	"yes"
biology-concept	Alteration-of-mRNA-Ends	"yes"
biology-concept	Alter-Genome	"yes"
biology-concept	Alternating-Generation-Organ	"yes"
biology-concept	Alternation-Of-Generations	"no"
biology-concept	Alternative-RNA-Splicing	"yes"
biology-concept	Altruism	"yes"
biology-concept	Alu-Element	"yes"
biology-concept	Aluminum	"yes"
biology-concept	Alveolate	"yes"
biology-concept	Alveolus	"yes"
biology-concept	Alzheimers-Disease	"yes"
biology-concept	Amacrine-Cell	"yes"
biology-concept	American-Ginseng	"yes"
biology-concept	Americium	"yes"
biology-concept	Amine	"yes"
biology-concept	Amino-Acid	"yes"
biology-concept	Amino-Acid-Hormone	"yes"
biology-concept	Amino-Acid-Neurotransmitter	"yes"
biology-concept	Amino-Acid-Sequence	"no"
biology-concept	Aminoacyl-tRNA	"yes"
biology-concept	Aminoacyl-tRNA-Synthetase	"yes"
biology-concept	Amino-End	"yes"
biology-concept	Amino-Group	"yes"
biology-concept	Ammonia	"yes"
biology-concept	Ammonia-Gas	"yes"
biology-concept	Ammonification	"yes"
biology-concept	Ammonite	"yes"
biology-concept	Amniocentesis	"yes"
biology-concept	Amnion	"yes"
biology-concept	Amniote	"yes"
biology-concept	Amniotic-Egg	"yes"
